Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
cinereus_IGG_FFS	cinereus	IGG	FFS	5	863	859	171	19.81460	7.06605	2.12440	0.04962	0.96765	0.00686	0.00282	0.05770	0.02250	0.00511	0.94230	0.02250	0.00511	0.04890	0.01269	0.00383	0.95110	0.01269	0.00383	0.05303	0.01493	0.00416	-0.00842	0.01577	0.04962
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	1	885	881	52	5.87571	2.65876	0.32686	0.01922	0.97947	0.00769	0.00295	0.03691	0.02692	0.00551	0.96309	0.02692	0.00551	0.02486	0.01031	0.00341	0.97514	0.01031	0.00341	0.03013	0.01514	0.00414	-0.01171	0.01245	0.01922
cinereus_SG_FFS	cinereus	SG	FFS	5	849	845	80	9.42285	2.38516	0.60502	0.02669	0.96923	0.01086	0.00358	0.05173	0.03474	0.00640	0.94827	0.03474	0.00640	0.03795	0.01458	0.00414	0.96205	0.01458	0.00414	0.05043	0.02723	0.00566	-0.00295	0.01728	0.02669
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	1	847	843	58	6.84770	2.38843	0.55462	0.02559	0.97717	0.00844	0.00316	0.04486	0.03279	0.00622	0.95514	0.03279	0.00622	0.02774	0.01105	0.00361	0.97226	0.01105	0.00361	0.03888	0.02395	0.00532	-0.01010	0.00604	0.02559
montanus_SG_Fresh	montanus	SG	Fresh	9	886	882	79	8.91648	6.38375	0.77687	0.02961	0.97558	0.00851	0.00310	0.04187	0.02739	0.00556	0.95813	0.02739	0.00556	0.03066	0.01146	0.00360	0.96934	0.01146	0.00360	0.03329	0.01351	0.00390	-0.01623	0.01919	0.02961
yonahlossee_SG_FFS	yonahlossee	SG	FFS	2	835	831	41	4.91018	1.06228	0.05847	0.00837	0.97754	0.01021	0.00350	0.04491	0.04085	0.00699	0.95509	0.04085	0.00699	0.02350	0.01082	0.00360	0.97650	0.01082	0.00360	0.04411	0.03959	0.00689	-0.00120	0.00060	0.00837
montanus_IGG_Fresh	montanus	IGG	Fresh	2	886	882	84	9.48081	4.46275	0.60596	0.02615	0.97321	0.00914	0.00321	0.04650	0.02938	0.00576	0.95350	0.02938	0.00576	0.03388	0.01257	0.00377	0.96612	0.01257	0.00377	0.03819	0.01600	0.00425	-0.01538	0.01700	0.02615
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	0	887	883	59	6.65163	2.18489	0.39467	0.02109	0.97708	0.00864	0.00312	0.04510	0.03411	0.00620	0.95490	0.03411	0.00620	0.02754	0.01118	0.00355	0.97246	0.01118	0.00355	0.03698	0.02115	0.00488	-0.01268	0.00795	0.02109
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	2	888	884	139	15.65315	6.65428	1.46208	0.04058	0.97079	0.00784	0.00297	0.04911	0.02272	0.00506	0.95089	0.02272	0.00506	0.04105	0.01230	0.00372	0.95895	0.01230	0.00372	0.04453	0.01442	0.00403	-0.00754	0.01579	0.04058
glutinosus_SG_Blood	glutinosus	SG	Blood	3	866	863	108	12.47113	3.63279	2.57946	0.05458	0.96698	0.00991	0.00338	0.05429	0.02925	0.00581	0.94571	0.02925	0.00581	0.04405	0.01541	0.00422	0.95595	0.01541	0.00422	0.05204	0.02245	0.00509	-0.00412	0.01508	0.05458
