Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	44	31037	30703	4759	15.33331	1.97941	0.02017	0.00081	0.94690	0.01784	0.00076	0.10475	0.07021	0.00150	0.89525	0.07021	0.00150	0.06488	0.02381	0.00088	0.93512	0.02381	0.00088	0.08690	0.04291	0.00118	-0.02677	0.01485	0.00081
glutinosus_SG_Blood	glutinosus	SG	Blood	171	31031	30698	4988	16.07425	1.87013	0.11301	0.00191	0.94356	0.01905	0.00078	0.10393	0.06920	0.00149	0.89607	0.06920	0.00149	0.06841	0.02504	0.00090	0.93159	0.02504	0.00090	0.09429	0.04908	0.00126	-0.01445	0.02046	0.00191
montanus_SG_FFS	montanus	SG	FFS	16	20506	20325	1385	6.75412	1.03428	0.03311	0.00127	0.96672	0.01541	0.00087	0.06627	0.06140	0.00173	0.93373	0.06140	0.00173	0.03353	0.01555	0.00087	0.96647	0.01555	0.00087	0.06598	0.06075	0.00172	-0.00044	0.00066	0.00127
montanus_IGG_FFS	montanus	IGG	FFS	19	25396	25160	2573	10.13152	2.55044	1.06763	0.00648	0.96613	0.01217	0.00069	0.06400	0.04519	0.00133	0.93600	0.04519	0.00133	0.04111	0.01596	0.00079	0.95889	0.01596	0.00079	0.05423	0.03017	0.00109	-0.01692	0.01372	0.00648
cinereus_IGG_Blood	cinereus	IGG	Blood	262	30290	29984	3154	10.41268	2.16510	0.46213	0.00391	0.96590	0.01177	0.00062	0.06136	0.04112	0.00117	0.93864	0.04112	0.00117	0.04234	0.01612	0.00073	0.95766	0.01612	0.00073	0.05676	0.03064	0.00101	-0.00727	0.01357	0.00391
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	16	31048	30714	3160	10.17779	1.99865	0.00135	0.00021	0.95740	0.01741	0.00075	0.08284	0.06769	0.00148	0.91716	0.06769	0.00148	0.04674	0.01963	0.00080	0.95326	0.01963	0.00080	0.06232	0.03490	0.00106	-0.03077	0.01797	0.00021
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	10	31034	30891	3461	11.15228	3.04147	0.52253	0.00410	0.96305	0.01293	0.00065	0.07039	0.04836	0.00125	0.92961	0.04836	0.00125	0.04531	0.01744	0.00075	0.95469	0.01744	0.00075	0.05415	0.02517	0.00090	-0.02846	0.01899	0.00410
glutinosus_SG_Fresh	glutinosus	SG	Fresh	26	31041	30898	4506	14.51628	1.99836	0.00164	0.00023	0.94717	0.01868	0.00078	0.10011	0.07033	0.00151	0.89989	0.07033	0.00151	0.06270	0.02372	0.00087	0.93730	0.02372	0.00087	0.08366	0.04224	0.00117	-0.02468	0.02004	0.00023
yonahlossee_SG_Blood	yonahlossee	SG	Blood	10	30944	30801	3203	10.35096	2.68553	0.30265	0.00313	0.96563	0.01203	0.00062	0.06373	0.04339	0.00118	0.93627	0.04339	0.00118	0.04233	0.01635	0.00073	0.95767	0.01635	0.00073	0.05191	0.02487	0.00090	-0.02021	0.01666	0.00313
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	6	31032	30889	2362	7.61150	1.28200	0.20248	0.00255	0.96645	0.01452	0.00068	0.06680	0.05783	0.00137	0.93320	0.05783	0.00137	0.03580	0.01577	0.00071	0.96420	0.01577	0.00071	0.06024	0.04753	0.00124	-0.00984	0.00526	0.00255
glutinosus_SG_FFS	glutinosus	SG	FFS	15	22321	22248	2700	12.09623	2.90301	3.19341	0.01196	0.96538	0.01117	0.00071	0.05578	0.03355	0.00123	0.94422	0.03355	0.00123	0.04451	0.01601	0.00085	0.95549	0.01601	0.00085	0.05770	0.03017	0.00116	0.00367	0.01829	0.01196
welleri_IGG_FFS	welleri	IGG	FFS	5133	29945	29867	3705	12.37268	3.78467	0.70751	0.00486	0.96264	0.01279	0.00065	0.07168	0.04844	0.00127	0.92832	0.04844	0.00127	0.04635	0.01694	0.00075	0.95365	0.01694	0.00075	0.05472	0.02426	0.00090	-0.03014	0.02225	0.00486
cinereus_IGG_FFS	cinereus	IGG	FFS	166	29834	29702	4719	15.81752	5.33696	1.48545	0.00706	0.96188	0.01135	0.00062	0.06964	0.03931	0.00115	0.93036	0.03931	0.00115	0.05062	0.01658	0.00075	0.94938	0.01658	0.00075	0.05698	0.02163	0.00085	-0.02450	0.02124	0.00706
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	40	31033	30890	3059	9.85725	2.60336	0.31699	0.00320	0.96616	0.01218	0.00063	0.06420	0.04558	0.00121	0.93580	0.04558	0.00121	0.04102	0.01614	0.00072	0.95898	0.01614	0.00072	0.05103	0.02536	0.00090	-0.02215	0.01618	0.00320
cinereus_SG_FFS	cinereus	SG	FFS	466	29853	29718	2877	9.63722	2.52454	0.32525	0.00330	0.96766	0.01157	0.00062	0.06169	0.04353	0.00121	0.93831	0.04353	0.00121	0.03945	0.01532	0.00072	0.96055	0.01532	0.00072	0.05001	0.02501	0.00092	-0.01921	0.01451	0.00330
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	22	28282	28162	2589	9.15423	2.40970	0.60004	0.00461	0.96796	0.01196	0.00065	0.06206	0.04598	0.00128	0.93794	0.04598	0.00128	0.03812	0.01517	0.00073	0.96188	0.01517	0.00073	0.05029	0.02814	0.00100	-0.01977	0.01354	0.00461
