Dataset	Site_Type	Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
allreads_allsnps_allsites	allsites	cinereus_IGG_FFS	cinereus	IGG	FFS	137	29766	29638	4959	16.65995	6.06605	2.37387	0.00893	0.96234	0.01087	0.00060	0.06816	0.03716	0.00112	0.93184	0.03716	0.00112	0.05075	0.01619	0.00074	0.94925	0.01619	0.00074	0.05625	0.02034	0.00083	-0.02328	0.02201	0.00893
allreads_allsnps_allsites	allsites	cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	33	30556	30425	3082	10.08640	2.59245	0.34560	0.00336	0.96672	0.01163	0.00062	0.06228	0.04260	0.00118	0.93772	0.04260	0.00118	0.04107	0.01584	0.00072	0.95893	0.01584	0.00072	0.05105	0.02488	0.00090	-0.01894	0.01537	0.00336
allreads_allsnps_allsites	allsites	cinereus_SG_FFS	cinereus	SG	FFS	435	29814	29686	3628	12.16878	4.81737	3.97245	0.01154	0.96639	0.01107	0.00061	0.06121	0.03870	0.00114	0.93879	0.03870	0.00114	0.04281	0.01541	0.00072	0.95719	0.01541	0.00072	0.04987	0.02188	0.00086	-0.02135	0.02002	0.01154
allreads_allsnps_allsites	allsites	cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	30	29463	29341	2829	9.60187	2.60048	0.43739	0.00385	0.96670	0.01235	0.00065	0.06456	0.04759	0.00127	0.93544	0.04759	0.00127	0.03969	0.01567	0.00073	0.96031	0.01567	0.00073	0.05083	0.02696	0.00096	-0.02303	0.01558	0.00385
allreads_allsnps_allsites	allsites	montanus_SG_Fresh	montanus	SG	Fresh	276	31039	30906	3193	10.28706	1.99391	0.00605	0.00044	0.95886	0.01631	0.00072	0.07858	0.06211	0.00141	0.92142	0.06211	0.00141	0.04629	0.01907	0.00078	0.95371	0.01907	0.00078	0.06189	0.03417	0.00105	-0.02503	0.01745	0.00044
allreads_allsnps_allsites	allsites	yonahlossee_SG_FFS	yonahlossee	SG	FFS	14	31048	30915	2966	9.55295	2.56332	1.03880	0.00578	0.96508	0.01330	0.00065	0.06669	0.05045	0.00127	0.93331	0.05045	0.00127	0.04081	0.01650	0.00073	0.95919	0.01650	0.00073	0.05235	0.02749	0.00094	-0.02256	0.01508	0.00578
allreads_allsnps_allsites	allsites	montanus_IGG_Fresh	montanus	IGG	Fresh	245	31044	30911	4306	13.87064	6.03080	0.69273	0.00472	0.95953	0.01325	0.00065	0.07292	0.04559	0.00121	0.92708	0.04559	0.00121	0.05116	0.01865	0.00078	0.94884	0.01865	0.00078	0.05581	0.02220	0.00085	-0.03273	0.02770	0.00472
allreads_allsnps_allsites	allsites	yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	10	31025	30892	3130	10.08864	2.95687	0.04991	0.00127	0.96279	0.01433	0.00068	0.07193	0.05502	0.00133	0.92807	0.05502	0.00133	0.04299	0.01734	0.00075	0.95701	0.01734	0.00075	0.05183	0.02525	0.00090	-0.03391	0.02267	0.00127
allreads_allsnps_allsites	allsites	yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	38	31049	30916	4500	14.49322	6.25998	0.81530	0.00512	0.96105	0.01252	0.00064	0.07194	0.04408	0.00119	0.92806	0.04408	0.00119	0.04982	0.01770	0.00076	0.95018	0.01770	0.00076	0.05401	0.02079	0.00082	-0.03488	0.02511	0.00512
allreads_allsnps_allsites	allsites	glutinosus_SG_Blood	glutinosus	SG	Blood	155	31034	30901	5420	17.46472	3.16659	0.22604	0.00270	0.94933	0.01503	0.00070	0.08250	0.04462	0.00120	0.91750	0.04462	0.00120	0.06616	0.02241	0.00085	0.93384	0.02241	0.00085	0.07879	0.03192	0.00101	-0.00610	0.02857	0.00270
allreads_allsnps_allsites	allsites	montanus_SG_FFS	montanus	SG	FFS	27	21316	21253	1614	7.57178	1.49911	0.25001	0.00342	0.96888	0.01290	0.00078	0.06031	0.04993	0.00153	0.93969	0.04993	0.00153	0.03449	0.01479	0.00083	0.96551	0.01479	0.00083	0.05496	0.04035	0.00138	-0.00802	0.00683	0.00342
allreads_allsnps_allsites	allsites	montanus_IGG_FFS	montanus	IGG	FFS	21	27695	27590	2961	10.69146	2.86499	1.88403	0.00825	0.96608	0.01187	0.00065	0.06318	0.04317	0.00125	0.93682	0.04317	0.00125	0.04181	0.01586	0.00076	0.95819	0.01586	0.00076	0.05447	0.02965	0.00103	-0.01568	0.01437	0.00825
allreads_allsnps_allsites	allsites	cinereus_IGG_Blood	cinereus	IGG	Blood	173	30514	30384	3682	12.06659	2.70538	0.29762	0.00312	0.96446	0.01119	0.00061	0.06273	0.03755	0.00111	0.93727	0.03755	0.00111	0.04616	0.01655	0.00074	0.95384	0.01655	0.00074	0.05734	0.02616	0.00093	-0.00912	0.01649	0.00312
allreads_allsnps_allsites	allsites	yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	2	31007	30876	2738	8.83026	1.32886	0.22072	0.00267	0.96333	0.01512	0.00070	0.07189	0.05924	0.00138	0.92811	0.05924	0.00138	0.04041	0.01717	0.00074	0.95959	0.01717	0.00074	0.06738	0.05139	0.00129	-0.00676	0.00551	0.00267
allreads_allsnps_allsites	allsites	yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	10	31049	30575	3025	9.74266	1.99965	0.00035	0.00011	0.95988	0.01630	0.00072	0.07863	0.06386	0.00143	0.92137	0.06386	0.00143	0.04442	0.01863	0.00077	0.95558	0.01863	0.00077	0.05922	0.03311	0.00103	-0.02912	0.01613	0.00011
allreads_allsnps_allsites	allsites	glutinosus_SG_Fresh	glutinosus	SG	Fresh	54	31041	30567	4506	14.51628	1.99836	0.00164	0.00023	0.94717	0.01868	0.00078	0.10011	0.07033	0.00151	0.89989	0.07033	0.00151	0.06270	0.02372	0.00087	0.93730	0.02372	0.00087	0.08366	0.04224	0.00117	-0.02468	0.02004	0.00023
allreads_allsnps_allsites	allsites	yonahlossee_SG_Blood	yonahlossee	SG	Blood	27	30983	30512	3283	10.59613	2.75696	0.21774	0.00265	0.96448	0.01252	0.00064	0.06681	0.04624	0.00122	0.93319	0.04624	0.00122	0.04348	0.01682	0.00074	0.95652	0.01682	0.00074	0.05298	0.02514	0.00090	-0.02356	0.01789	0.00265
allreads_allsnps_allsites	allsites	cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	9	13528	13376	1189	8.78918	1.28851	0.20529	0.00390	0.96478	0.01419	0.00102	0.06542	0.05242	0.00197	0.93458	0.05242	0.00197	0.03958	0.01659	0.00111	0.96042	0.01659	0.00111	0.06562	0.04937	0.00191	0.00030	0.00739	0.00390
allreads_allsnps_allsites	allsites	glutinosus_SG_FFS	glutinosus	SG	FFS	8	11351	11257	1041	9.17100	1.20280	0.16169	0.00377	0.95853	0.01792	0.00126	0.08136	0.07036	0.00249	0.91864	0.07036	0.00249	0.04366	0.01911	0.00130	0.95634	0.01911	0.00130	0.08013	0.06745	0.00244	-0.00185	0.00330	0.00377
allreads_allsnps_allsites	allsites	welleri_IGG_FFS	welleri	IGG	FFS	5132	29870	29501	2757	9.23000	1.87854	0.10671	0.00189	0.96425	0.01400	0.00068	0.06990	0.05462	0.00135	0.93010	0.05462	0.00135	0.04095	0.01685	0.00075	0.95905	0.01685	0.00075	0.05707	0.03379	0.00106	-0.01925	0.01167	0.00189
allreads_allsnps_allsites	allsites	cinereus_IGG_FFS	cinereus	IGG	FFS	471	29809	29388	5185	17.39408	6.88695	3.22038	0.01039	0.96220	0.01080	0.00060	0.06815	0.03658	0.00111	0.93185	0.03658	0.00111	0.05115	0.01612	0.00074	0.94885	0.01612	0.00074	0.05602	0.01973	0.00081	-0.02408	0.02251	0.01039
allreads_allsnps_allsites	allsites	cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	108	31032	30560	2747	8.85215	1.94892	0.04847	0.00125	0.96537	0.01371	0.00066	0.06698	0.05287	0.00131	0.93302	0.05287	0.00131	0.03945	0.01636	0.00073	0.96055	0.01636	0.00073	0.05320	0.03003	0.00098	-0.02067	0.01334	0.00125
allreads_allsnps_allsites	allsites	cinereus_SG_FFS	cinereus	SG	FFS	249	21564	21383	1872	8.68114	2.07888	0.66915	0.00557	0.96818	0.01230	0.00076	0.06182	0.04763	0.00149	0.93818	0.04763	0.00149	0.03702	0.01505	0.00084	0.96298	0.01505	0.00084	0.05203	0.03228	0.00122	-0.01602	0.01158	0.00557
