Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
cinereus_SG_FFS	cinereus	SG	FFS	485	22175	22102	2669	12.03608	4.58584	3.07831	0.01178	0.96601	0.01125	0.00071	0.06308	0.04056	0.00135	0.93692	0.04056	0.00135	0.04317	0.01565	0.00084	0.95683	0.01565	0.00084	0.05030	0.02197	0.00100	-0.02362	0.02015	0.01178
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	41	22436	22356	2540	11.32109	3.49211	0.69363	0.00556	0.96455	0.01230	0.00074	0.06842	0.04687	0.00145	0.93158	0.04687	0.00145	0.04379	0.01644	0.00086	0.95621	0.01644	0.00086	0.05236	0.02423	0.00104	-0.02872	0.01930	0.00556
montanus_SG_Fresh	montanus	SG	Fresh	167	22749	22667	2881	12.66429	2.92910	0.07643	0.00183	0.95291	0.01769	0.00088	0.08975	0.06713	0.00172	0.91025	0.06713	0.00172	0.05435	0.02141	0.00097	0.94565	0.02141	0.00097	0.06559	0.03124	0.00117	-0.04061	0.02944	0.00183
yonahlossee_SG_FFS	yonahlossee	SG	FFS	6	22526	22444	1936	8.59451	1.35279	0.34199	0.00390	0.96223	0.01622	0.00085	0.07477	0.06420	0.00169	0.92523	0.06420	0.00169	0.04026	0.01755	0.00088	0.95974	0.01755	0.00088	0.07238	0.06021	0.00163	-0.00373	0.00298	0.00390
montanus_IGG_Fresh	montanus	IGG	Fresh	87	22700	22618	2835	12.48899	2.75555	0.24700	0.00330	0.95605	0.01583	0.00084	0.08280	0.05885	0.00161	0.91720	0.05885	0.00161	0.05238	0.02024	0.00094	0.94762	0.02024	0.00094	0.06400	0.03045	0.00116	-0.03185	0.02409	0.00330
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	9	22330	22251	1776	7.95343	1.38047	0.23572	0.00325	0.96501	0.01507	0.00082	0.06953	0.05991	0.00164	0.93047	0.05991	0.00164	0.03738	0.01640	0.00086	0.96262	0.01640	0.00086	0.06602	0.05424	0.00156	-0.00526	0.00328	0.00325
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	36	22777	22694	4399	19.31334	4.73363	0.31669	0.00373	0.95241	0.01382	0.00078	0.09000	0.05018	0.00148	0.91000	0.05018	0.00148	0.06301	0.02000	0.00094	0.93699	0.02000	0.00094	0.07046	0.02500	0.00105	-0.03699	0.02486	0.00373
glutinosus_SG_Blood	glutinosus	SG	Blood	96	22164	22085	4025	18.16008	3.30721	1.42612	0.00802	0.94512	0.01694	0.00087	0.09428	0.05487	0.00157	0.90572	0.05487	0.00157	0.06987	0.02408	0.00104	0.93013	0.02408	0.00104	0.08422	0.03667	0.00129	-0.01848	0.02920	0.00802
montanus_SG_FFS	montanus	SG	FFS	30	20213	20148	2108	10.42893	3.00015	1.92841	0.00977	0.96685	0.01153	0.00076	0.06019	0.04060	0.00142	0.93981	0.04060	0.00142	0.04103	0.01565	0.00088	0.95897	0.01565	0.00088	0.05234	0.02753	0.00117	-0.01399	0.01569	0.00977
montanus_IGG_FFS	montanus	IGG	FFS	66	21911	21838	2817	12.85656	3.91082	2.49401	0.01067	0.96170	0.01272	0.00076	0.07167	0.04615	0.00145	0.92833	0.04615	0.00145	0.04822	0.01762	0.00090	0.95178	0.01762	0.00090	0.05852	0.02789	0.00113	-0.02453	0.01837	0.01067
cinereus_IGG_Blood	cinereus	IGG	Blood	149	22377	22305	2653	11.85592	3.14515	1.35085	0.00777	0.96716	0.01020	0.00068	0.05499	0.03115	0.00118	0.94501	0.03115	0.00118	0.04313	0.01525	0.00083	0.95687	0.01525	0.00083	0.05255	0.02372	0.00103	-0.00424	0.01622	0.00777
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	11	22774	22691	2581	11.33310	1.99679	0.00320	0.00037	0.95250	0.01920	0.00092	0.09276	0.07499	0.00181	0.90724	0.07499	0.00181	0.05208	0.02161	0.00097	0.94792	0.02161	0.00097	0.06946	0.03844	0.00130	-0.03495	0.01961	0.00037
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	27	22762	22584	2434	10.69326	1.92632	0.06825	0.00173	0.95776	0.01653	0.00085	0.08259	0.06455	0.00168	0.91741	0.06455	0.00168	0.04785	0.01953	0.00093	0.95215	0.01953	0.00093	0.06489	0.03639	0.00126	-0.02656	0.01541	0.00173
glutinosus_SG_Fresh	glutinosus	SG	Fresh	64	22773	22594	3416	15.00022	1.87907	0.10631	0.00216	0.94401	0.02011	0.00094	0.10754	0.07696	0.00184	0.89246	0.07696	0.00184	0.06549	0.02489	0.00105	0.93451	0.02489	0.00105	0.09065	0.04920	0.00147	-0.02534	0.01868	0.00216
yonahlossee_SG_Blood	yonahlossee	SG	Blood	11	22625	22447	2316	10.23646	1.93034	0.06481	0.00169	0.96013	0.01552	0.00083	0.07735	0.06005	0.00163	0.92265	0.06005	0.00163	0.04552	0.01857	0.00091	0.95448	0.01857	0.00091	0.06145	0.03417	0.00123	-0.02385	0.01493	0.00169
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	9	10582	10515	1005	9.49726	1.27830	0.20087	0.00436	0.96151	0.01551	0.00121	0.07243	0.05819	0.00235	0.92757	0.05819	0.00235	0.04299	0.01796	0.00130	0.95701	0.01796	0.00130	0.07281	0.05574	0.00230	0.00057	0.00652	0.00436
glutinosus_SG_FFS	glutinosus	SG	FFS	12	15844	15739	1768	11.15880	2.06444	1.06566	0.00820	0.96299	0.01308	0.00091	0.06590	0.04545	0.00169	0.93410	0.04545	0.00169	0.04513	0.01722	0.00104	0.95487	0.01722	0.00104	0.06440	0.03931	0.00158	-0.00278	0.01309	0.00820
welleri_IGG_FFS	welleri	IGG	FFS	3840	22303	22151	2116	9.48751	2.09757	0.20562	0.00304	0.96343	0.01425	0.00080	0.07043	0.05486	0.00157	0.92957	0.05486	0.00157	0.04197	0.01722	0.00088	0.95803	0.01722	0.00088	0.05634	0.03160	0.00119	-0.02127	0.01470	0.00304
cinereus_IGG_FFS	cinereus	IGG	FFS	182	22210	22045	3931	17.69923	7.39730	2.10042	0.00972	0.96111	0.01126	0.00071	0.07144	0.03913	0.00133	0.92856	0.03913	0.00133	0.05223	0.01658	0.00086	0.94777	0.01658	0.00086	0.05663	0.01976	0.00094	-0.02988	0.02338	0.00972
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	81	22711	22535	2135	9.40073	1.72938	0.19739	0.00295	0.96428	0.01376	0.00078	0.06955	0.05343	0.00153	0.93045	0.05343	0.00153	0.04136	0.01686	0.00086	0.95864	0.01686	0.00086	0.05913	0.03614	0.00126	-0.01563	0.01041	0.00295
cinereus_SG_FFS	cinereus	SG	FFS	283	21474	21319	2134	9.93760	2.86309	1.73071	0.00898	0.96693	0.01213	0.00075	0.06287	0.04571	0.00146	0.93713	0.04571	0.00146	0.03970	0.01547	0.00085	0.96030	0.01547	0.00085	0.05336	0.03105	0.00120	-0.01693	0.01475	0.00898
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	54	21671	21505	1971	9.09510	1.83785	0.13587	0.00250	0.96460	0.01393	0.00080	0.06933	0.05446	0.00159	0.93067	0.05446	0.00159	0.04044	0.01670	0.00088	0.95956	0.01670	0.00088	0.05729	0.03492	0.00127	-0.01807	0.01092	0.00250
montanus_SG_Fresh	montanus	SG	Fresh	69	22748	22569	2803	12.32196	2.92276	0.08578	0.00194	0.95455	0.01708	0.00087	0.08733	0.06503	0.00169	0.91267	0.06503	0.00169	0.05261	0.02073	0.00095	0.94739	0.02073	0.00095	0.06355	0.03036	0.00116	-0.04022	0.02700	0.00194
